t,x
0.0,0.9991554446366766
0.101,1.0986757725422869
0.202,1.155109447150612
0.303,1.1698270160326445
0.404,1.145490617490618
0.505,1.0858725473949316
0.606,0.9956428947677327
0.707,0.8801381364809987
0.808,0.7451223840391348
0.909,0.5965521621574553
1.01,0.440354285939142
1.111,0.2822247282939209
1.212,0.1274544782425999
1.313,-0.019213572425975108
1.414,-0.15369458154931637
1.515,-0.27263815304113626
1.616,-0.3734722710469432
1.717,-0.45441705365544155
1.818,-0.5144714745482369
1.919,-0.5533767523910745
2.02,-0.5715603738046559
2.121,-0.570064743193442
2.222,-0.5504642985135534
2.323,-0.5147746563645007
2.424,-0.46535700951463127
2.525,-0.40482064355730807
2.626,-0.33592610308241877
2.727,-0.26149124361070186
2.828,-0.18430216131791033
2.929,-0.10703079315060128
3.03,-0.03216081013078978
3.131,0.038076735036375625
3.232,0.10175672215713058
3.333,0.1573011701174158
3.434,0.20350753428692464
3.535,0.23956362248572083
3.636,0.2650490460684208
3.737,0.2799235592393727
3.838,0.2845031031451222
3.939,0.2794248338189156
4.04,0.265602842907126
4.141,0.24417664494897043
4.242,0.21645477541073221
4.343,0.183855996460616
4.444,0.14785062812639344
4.545,0.109904406947911
4.646,0.07142702949495877
4.747,0.03372718165479475
4.848,-0.002024587169274704
4.949,-0.0348242799473462
5.051,-0.06412012746279808
5.152,-0.08871178604036696
5.253,-0.10848491259554092
5.354,-0.12321100543149774
5.455,-0.13284281818854915
5.556,-0.1374977767987825
5.657,-0.13743785747317694
5.758,-0.1330472352494882
5.859,-0.12480887453421527
5.96,-0.113281039576854
6.061,-0.09907448042697123
6.162,-0.08283082504904796
6.263,-0.06520250446527123
6.364,-0.046834373467448495
6.465,-0.0283470761950426
6.566,-0.01032214770893613
6.667,0.006711163962998415
6.768,0.022287336177578543
6.869,0.03601419054189048
6.97,0.047580543615712394
7.071,0.05676168241213474
7.172,0.06342242620470419
7.273,0.06751754395863487
7.374,0.0690893504096392
7.475,0.06826240344400311
7.576,0.06523536432555277
7.677,0.060270247849876314
7.778,0.05367946456740287
7.879,0.04581122221490207
7.98,0.03703398871890843
8.081,0.027720807166514563
8.182,0.018234281047282072
8.283,0.008913009125439384
8.384,6.0144008645238875e-05
8.485,-0.008065415212109203
8.586,-0.015254893222018331
8.687,-0.021352499530065107
8.788,-0.026255439391825838
8.889,-0.02991144123346407
8.99,-0.032314329220558324
9.091,-0.03349826891073343
9.192,-0.03353134010167657
9.293,-0.03250904187621734
9.394,-0.03054821708351138
9.495,-0.027781712062342315
9.596,-0.0243538842265456
9.697,-0.020416861767786017
9.798,-0.016127274494578216
9.899,-0.01164303948651953
10.0,-0.007119721756533807
